Work center1,Order,Material,Sales Order,Order Type,Description,MRP controller,Target quantity,Confirm.yield1,Balance1,Stor. Location,Bas. start date,Basic fin. date,System Status
BW05-SAH,1963906,9110578500,,ZP01,ASS'Y DRIVE TRAIN,M47,128.000,0.000,128.000,WA00,05/06/2022,05/09/2022,CRTD MSPT PRC  BCRQ SETC
,381009585,9110592900,,LA,PULP TRAY TOP & BOTTOM SET JOY,M47,"15,986.000",0.000,0.000,,05/06/2022,05/09/2022,
,381008105,9110598700,,LA,ASSY CAPSULE HOLDER 9781 GRILON,M49,"27,841.000",0.000,0.000,,05/06/2022,05/09/2022,
,381010305,9110599600,,LA,PULP TRAY TOP & BOTTOM SET RIO,M47,"4,279.000",0.000,0.000,,05/06/2022,05/09/2022,
,381010955,9110600000,,LA,PULP TRAY TOP*BOTTOM  9770 LIGHT SET PRO,M47,"2,220.000",0.000,0.000,,05/06/2022,05/09/2022,
,381008170,9110600600,,LA,Assy Power PCBA & Power Cord EU Cold Gre,M47,128.000,0.000,0.000,,05/06/2022,05/06/2022,
BW03-SA,381043070,9110606200,,LA,CERAMIC WIDE PREFLUSH BLACK MACHINING,M49,128.000,0.000,128.000,,05/06/2022,05/09/2022,
,381026197,9170447401,,LA,HMI COVER FRONT WHITE PRINTED WIK419 NEW,M49,990.000,0.000,0.000,,05/06/2022,05/09/2022,
,381012193,9170447501,,LA,FRAME BLACK PRINTED SILVER KRUPS NEW LOG,M50,"2,220.000",0.000,0.000,,05/06/2022,05/09/2022,
,381013350,9170513700,,LA,Shiga DU AXIS WITH ARROW PRINTING,M49,"1,084.000",0.000,0.000,,05/06/2022,05/09/2022,
,381013759,9170537100,,LA,VALVE TILT PART BLACK PRINTED,M49,"15,132.000",0.000,0.000,,05/06/2022,05/09/2022,
,381008506,9170540300,,LA,CLAMP HANDLE WHITE Printed Lagoon,M49,"3,020.000",0.000,0.000,,05/06/2022,05/09/2022,
,381014199,9170540400,,LA,CLAMP HANDLE WHITE Printed Bordeaux,M49,"2,746.000",0.000,0.000,,05/06/2022,05/09/2022,
,381008615,9170557800,,LA,CLAMP HANDLE WHITE Printed Black,M49,"1,934.000",0.000,0.000,,05/06/2022,05/09/2022,
,381014746,9170580200,,LA,HSG DRAWER WITH LOGO PRINTING (CHIMEI),M49,"2,279.000",0.000,0.000,,05/06/2022,05/09/2022,
,381037056,9340011100,,LA,MESH OVERMOULD,M49,"2,256.000",0.000,0.000,,05/06/2022,05/09/2022,
,381034145,9340040700,,LA,TOP HOUSING OVERMOLDED BLACK,M49,"1,772.000",0.000,0.000,,05/06/2022,05/09/2022,
,381015057,9340040900,,LA,HEAD BOTTOM SPOUT&SESOR COVER PT 19-4006,M49,128.000,0.000,0.000,,05/06/2022,05/09/2022,
,381026945,9340041000,,LA,MOTOR BRACKET OVERMOLDED BLACK PT19-4006,M50,128.000,0.000,0.000,,05/06/2022,05/09/2022,
,381034253,9350008000,,LA,THERMOBLOCK 230V/1400W,M50,"6,144.000",0.000,0.000,,05/06/2022,05/09/2022,
,381034254,9350008000,,LA,THERMOBLOCK 230V/1400W,M50,"2,734.000",0.000,0.000,,05/06/2022,05/09/2022,
,381027139,9350013300,,LA,THERMOBLOCK 100V 1400W W/QRT HEATER,M50,"1,536.000",0.000,0.000,,05/06/2022,05/09/2022,
,381027140,9350013300,,LA,THERMOBLOCK 100V 1400W W/QRT HEATER,M50,720.000,0.000,0.000,,05/06/2022,05/09/2022,
,381027503,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,05/06/2022,05/09/2022,
,381027504,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,05/06/2022,05/09/2022,
,381027505,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,05/06/2022,05/09/2022,
,381027506,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,05/06/2022,05/09/2022,
,381027507,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,05/06/2022,05/09/2022,
,381027508,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,05/06/2022,05/09/2022,
,381027509,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,05/06/2022,05/09/2022,
,381027510,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,05/06/2022,05/09/2022,
,381027511,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,05/06/2022,05/09/2022,
,381027512,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,158.000",0.000,0.000,,05/06/2022,05/09/2022,
,381028334,9350020500,,LA,THERMOBLOCK,M50,128.000,0.000,0.000,,05/06/2022,05/09/2022,
,381002581,0310103100,,LA,HSG SET LEFT & RIGHT 9781 JOY - WHITE,M50,"2,205.000",0.000,0.000,,05/09/2022,05/10/2022,
,381002789,0310103700,,LA,HSG SET LEFT & RIGHT 9781 JOY - BLACK,M50,"2,205.000",0.000,0.000,,05/09/2022,05/10/2022,
,381008843,0310103800,,LA,EXCENTRIC SET LEFT& RIGHT BLACK FC1150L,M50,"10,881.000",0.000,0.000,,05/09/2022,05/10/2022,
,381034971,3010018600,,LA,HANDLE FOR PACKING (NEW) N.C,M50,"5,639.000",0.000,0.000,,05/09/2022,05/10/2022,
,381037284,3010442800,,LA,VALVE LEVER N.C.,M50,"24,158.000",0.000,0.000,,05/09/2022,05/10/2022,
,381037709,3010811900,,LA,BLOCK SHAFT N.C,M50,"6,440.000",0.000,0.000,,05/09/2022,05/10/2022,
,381018403,3010907401,,LA,FILTER MINI N.C.,M49,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381028432,3011199100,,LA,SPRING SUPPORT TOP 3,M50,"5,639.000",0.000,0.000,,05/09/2022,05/10/2022,
,381003091,3011228500,,LA,SHUTTER GUIDE BLK NCS S 9000-N,M50,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381009891,3011228600,,LA,FIXATION PUMP NCS S 9000 N,M50,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381018848,3011229000,,LA,HMI MAIN PART BLACK NCS S9000-N,M50,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381028843,3011229500,,LA,HARD BUTTON GLOSSY RAL 9005 BLACK,M50,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381010537,3011229700,,LA,CHASSIS BLACK 9205,M50,"4,437.000",0.000,0.000,,05/09/2022,05/10/2022,
,381019278,3011230000,,LA,VALVE TOP V2 N.C,M50,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381029626,3011230100,,LA,BLOCK SHAFT N.C,M50,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381019707,3011230200,,LA,MAGNET HOLDER N.C,M50,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381020127,3011230300,,LA,WATER CONNECTOR PART N.C,M49,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381035591,3011231000,,LA,GEAR WHEEL BLACK  PIN,M50,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381029936,3011250400,,LA,SLIDER LEVER BLUE  S2 WIK416,M50,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381037996,3011251100,,LA,DU DISC UPPER BLACK PBT S2,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381038205,3011251301,,LA,DU WASHER BLACK PBT S2,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381020444,3011257100,,LA,HMI COVER BACK ARCTIC NCS S 2502-B,M50,"2,032.000",0.000,0.000,,05/09/2022,05/10/2022,
,381020560,3011257700,,LA,HMI COVER BACK RAL9005 BLACK,M50,"2,407.000",0.000,0.000,,05/09/2022,05/10/2022,
,381030561,3011257800,,LA,VALVE TILT PART RAL9005 BLACK,M50,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381011679,3011257900,,LA,CAPSULE HOLDER MAIN PART RAL9005 BK,M49,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381020961,3011258100,,LA,DRIP GRID BLACK RAL 9005,M50,"1,604.000",0.000,0.000,,05/09/2022,05/10/2022,
,381004480,3011259600,,LA,HEAD HSG FRONT PIANO BLACK WIK329,M50,"2,032.000",0.000,0.000,,05/09/2022,05/10/2022,
,381012693,3011276000,,LA,VALVE TOP N.C,M50,"6,440.000",0.000,0.000,,05/09/2022,05/10/2022,
,381030974,3011352901,,LA,F-CONNECTOR N.C.,M49,"10,879.000",0.000,0.000,,05/09/2022,05/10/2022,
,381038952,3011354300,,LA,PUMP OUTLET FOR D/U PUMP N.C,M49,"10,879.000",0.000,0.000,,05/09/2022,05/10/2022,
,381038410,3011368500,,LA,NOZZLE HOLDER BLACK,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381038617,3011368600,,LA,L-CONNECTOR TAMA,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381031400,3011394100,,LA,FILTER N.C.,M49,"6,440.000",0.000,0.000,,05/09/2022,05/10/2022,
,381021520,3011404100,,LA,HSG BACK V2 BLACK NCS S 9000-N IND.E,M50,"1,236.000",0.000,0.000,,05/09/2022,05/10/2022,
,381035799,3011404200,,LA,HSG BOTTOM BLACK NCS S 9000-N,M50,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381031681,3011404400,,LA,DOUBLE CONNECTOR 90,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381036007,3011404800,,LA,SLIDER BLACK PA66 W/O GF,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381031776,3011405100,,LA,SHIGA PROTECTOR WIK 417,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381031884,3011405300,,LA,VALVE LOWER LEVER,M50,"1,236.000",0.000,0.000,,05/09/2022,05/10/2022,
,381031975,3011405400,,LA,VALVE UPPER LEVER,M50,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381032087,3011405500,,LA,Frame support valve,M50,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381036218,3011406300,,LA,HSG CAP TRANSPARENT,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381032186,3011406700,,LA,Coffee Box Top SHIGA TRANSPARENT,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381032291,3011406800,,LA,Coffee Box Bottom SHIGA TRANSPARENT,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381032493,3011407100,,LA,WATER TANK BACK TRANSPARENT,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381032589,3011407200,,LA,WATER TANK FRONT TRANSPARENT,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381032698,3011407500,,LA,MIX CHAMBER GRIP SHIGA BLACK,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381032900,3011410200,,LA,DU HSG PBT SHIGA WHITE,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381036434,3011411101,,LA,NEW RINSING TOOL N.C,M50,"10,879.000",0.000,0.000,,05/09/2022,05/10/2022,
,381033101,3011415500,,LA,TANK OUTSIDE TRANSPARENT N.C NAS21,M49,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381021721,3011415600,,LA,TANK INSIDE TRANSPARENT N.C NAS21,M49,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381033514,3011423400,,LA,DU DISC LOWER Green PBT SHIGA Pelletize,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381033614,3011427000,,LA,Drip grid black Shiga,M50,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381022163,3011517303,,LA,Back Housing ECR L,M50,"6,440.000",0.000,0.000,,05/09/2022,05/10/2022,
,381033838,3011521300,,LA,THERMOBLOCK SUPPORT NCS S 9000-N,M50,"8,559.000",0.000,0.000,,05/09/2022,05/10/2022,
,381013185,3011521400,,LA,CHASSIS BLACK GRIVORY,M50,"6,441.000",0.000,0.000,,05/09/2022,05/10/2022,
,381013491,3011521500,,LA,ROCKER LEVER V2 BLACK 9205,M50,"6,440.000",0.000,0.000,,05/09/2022,05/10/2022,
,381022458,3011521700,,LA,VALVE TILT BLACK,M50,"4,915.000",0.000,0.000,,05/09/2022,05/10/2022,
,381014030,3011522000,,LA,Tank lid TRANSPARENT,M49,"6,630.000",0.000,0.000,,05/09/2022,05/10/2022,
,381023019,3011536900,,LA,CLAMP HANDLE white,M50,"2,205.000",0.000,0.000,,05/09/2022,05/10/2022,
,381014580,3011553200,,LA,Thermoblock pillar 9781 ARIEL,M50,"6,440.000",0.000,0.000,,05/09/2022,05/10/2022,
,381038724,3011622500,,LA,UI PANEL TRANSPARENT,M50,740.000,0.000,0.000,,05/09/2022,05/10/2022,
,381036788,3011622600,,LA,COVER FOR TANK LED TRANSPARENT,M50,740.000,0.000,0.000,,05/09/2022,05/10/2022,
,381023109,3011622700,,LA,BOTTOM HOUSING BLACK RAL9005,M50,396.000,0.000,0.000,,05/09/2022,05/10/2022,
,381014858,3011622800,,LA,TOP DRIP TRAY BLACKPANTONE 19-4006TPX,M50,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381023135,3011622900,,LA,DRIP TRAY BOTTOM BLACK PANTONE 19-4006TP,M50,528.000,0.000,0.000,,05/09/2022,05/10/2022,
,381014958,3011623100,,LA,WATER TANK LID BLACK PANTONE 19-4006TPX,M49,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381023231,3011623200,,LA,FLOAT TOP TRANSPARENT,M49,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381023331,3011623300,,LA,FLOAT COVER TRANSPARENT,M49,128.000,0.000,0.000,,05/09/2022,05/10/2022,
,381015158,3011623400,,LA,FILTER BASE OUTER BLACK PANTONE 19-4006T,M49,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381015258,3011623500,,LA,FILTER BASE INNER BLACK PANTONE 19-4006T,M49,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381023419,3011623700,,LA,CERAMIC WIDE PREFLUSH PANTONE 19-4006TPX,M49,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381015358,3011623800,,LA,FILTER HOLDER BLACK  PANTONE 19-4006TPX,M49,200.000,0.000,0.000,,05/09/2022,05/10/2022,
,381015458,3011623900,,LA,SEALING SUPPORT  BLACK PT19-4006TPX,M49,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381015558,3011624000,,LA,SEALING SUPPORT  CLIP BLACK PT 19-4006TP,M49,128.000,0.000,0.000,,05/09/2022,05/10/2022,
,381015668,3011624100,,LA,GEAR RACK BLACK PANTONE 19-4006TPX,M50,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381023525,3011624200,,LA,FRAME FRONT NATURAL,M50,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381023625,3011624300,,LA,CARRIAGE BODY BLACK PANTONE 19-4006TPX,M50,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381023725,3011624600,,LA,CARRIAGE LID BLACK PANTONE 19-4006TPX,M50,128.000,0.000,0.000,,05/09/2022,05/10/2022,
,381023825,3011624700,,LA,SPUR GEAR M07 20T BLACK,M50,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381023925,3011624800,,LA,SPUR GEAR M07 11T BLACK,M50,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381024021,3011624900,,LA,WORM WHEEL BLACK,M50,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381024124,3011625100,,LA,PUMP SUPPORT BLACK PANTONE 19-4006TPX,M49,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381024222,3011625400,,LA,Sensor cover - Spout,M49,128.000,0.000,0.000,,05/09/2022,05/10/2022,
,381015758,3011625500,,LA,HEAD TOP SPOUT BLACK PANTONE 19-4006TPX,M49,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381015867,3011625600,,LA,HOSE HOLDER SPOUT BLACK PANTONE 19-4006T,M49,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381015967,3011625800,,LA,CONNECTOR FOR SPOUT BLACK PT 19-4006TPX,M50,128.000,0.000,0.000,,05/09/2022,05/10/2022,
,381024324,3011625900,,LA,THERMOBOCK SHIELD BLACK PANTONE 19-4006T,M50,128.000,0.000,0.000,,05/09/2022,05/10/2022,
,381024424,3011626000,,LA,THERMOBOCK SHIELDLOCK BLACK PT 19-4006TP,M50,128.000,0.000,0.000,,05/09/2022,05/10/2022,
,381024524,3011626100,,LA,HOUSING FOR NTC PANTONE 19-4006TPX,M49,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381016066,3011626200,,LA,SURPPORT FOR POWER PCB BLACK PT 19-4006T,M50,128.000,0.000,0.000,,05/09/2022,05/10/2022,
,381004590,3011626300,,LA,POWER CORD CLAMP,M50,128.000,0.000,0.000,,05/09/2022,05/10/2022,
,381016167,3011626400,,LA,DIFFUSER PART,M50,128.000,0.000,0.000,,05/09/2022,05/10/2022,
,381024625,3011642800,,LA,WORM  BLACK,M50,132.000,0.000,0.000,,05/09/2022,05/10/2022,
,381024734,3011645900,,LA,CLAMP PLATE BLACK V3 SOLVAY 1150L,M50,"4,572.000",0.000,0.000,,05/09/2022,05/10/2022,
,381025151,3011646000,,LA,LEVER TOP BLACK SOLVAY 1150L,M50,"11,208.000",0.000,0.000,,05/09/2022,05/10/2022,
,381016355,3011646300,,LA,LEVER BOTTOM BLACK SOLVAY FC1150L,M50,"22,413.000",0.000,0.000,,05/09/2022,05/10/2022,
,381016792,3011646400,,LA,ROCKER LEVER BLACK SOLVAY 1150L,M50,"4,572.000",0.000,0.000,,05/09/2022,05/10/2022,
,381025599,3011650000,,LA,CLAMP PLATE BLACK 9781 FC1150L,M50,"6,441.000",0.000,0.000,,05/09/2022,05/10/2022,
,381025776,3011659400,,LA,HSG DRAWER VDI 3400 REF.24 (CHIMEI),M49,"1,212.000",0.000,0.000,,05/09/2022,05/10/2022,
,381036838,3011659500,,LA,WATER TANK COVER CHIMEI,M49,546.000,0.000,0.000,,05/09/2022,05/10/2022,
,381017406,3011675500,,LA,9781 Light Guide A Transparent SMMA NAS2,M50,"6,634.000",0.000,0.000,,05/09/2022,05/10/2022,
,381001773,7070223900,,VP,9770KRUPS WE230V GREY&BLK(KP123B10)LIGHT,M47,"3,055.000",0.000,0.000,,05/09/2022,05/10/2022,
,381001032,7070260701,,VP,9770 NDG KR 230V WHITE & GREY LIGHT,M47,717.000,0.000,0.000,,05/09/2022,05/10/2022,
,381002482,7070276800,,VP,9781 KRUPS WE 230V WHITE&BORDE KP1A0110,M47,"2,067.000",0.000,0.000,,05/09/2022,05/10/2022,
,381001328,7070296200,,VP,9781 KRUPS EE 230V BLACK&ANTH KP1A3B31,M47,"1,363.000",0.000,0.000,,05/09/2022,05/10/2022,
,381002000,7070296300,,VP,9781 KRUPS WE 230V BLACK&ANTH KP1A3B10,M47,"3,727.000",0.000,0.000,,05/09/2022,05/10/2022,
,381002400,7070296400,,VP,9781 DL NO 230V WHITE&BLACK EDG110.WB,M47,"1,330.000",0.000,0.000,,05/09/2022,05/10/2022,
,381002183,7070299800,,VP,9639 JP SHIGA 5 BUTTON 0.8L RED,M47,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381002334,7070308500,,VP,9781KRUPS MX 127V WHITE&BORDEAUKP1A01MX,M47,78.000,0.000,0.000,,05/09/2022,05/10/2022,
BW01-NE3,1961505,7070308900,1300085125,ZP01,9603.15 MELITTA EU COLD GREY,M47,128.000,0.000,128.000,WA99,05/09/2022,05/11/2022,CRTD MSPT PRC  CSER SETC
,381017702,8090704103,,LA,MASTER CTN LABEL WEU KP123B10 BATAM,M47,"1,773.000",0.000,0.000,,05/09/2022,05/10/2022,
,381017808,8090704105,,LA,MASTER CTN LABEL EEU KP123B31 BATAM,M47,"1,381.000",0.000,0.000,,05/09/2022,05/10/2022,
BW01-IHL,381045920,8090808501,,LA,MASTER CTN LBL DL EDG210.B WE 56132B8711,M47,817.000,0.000,817.000,,05/09/2022,05/09/2022,
,381026090,8090811501,,LA,MASTER CTN LABEL WHITE KP1A0131 NEW,M47,"1,070.000",0.000,0.000,,05/09/2022,05/09/2022,
,381018033,8090851100,,LA,MASTER CTN LBL KRUPS WE KP1A3B10,M47,"1,070.000",0.000,0.000,,05/09/2022,05/09/2022,
,381018241,8090852500,,LA,MASTER CTN LBL DL EDG110.WB 0132180869,M47,"1,070.000",0.000,0.000,,05/09/2022,05/10/2022,
,381018268,8090856700,,LA,MASTER CTN LBL DL EDG110.WB 5513284711,M47,"1,886.000",0.000,0.000,,05/09/2022,05/09/2022,
,381004768,9110245401,,LA,ASS'Y FLOWMETER,M49,"2,062.000",0.000,0.000,,05/09/2022,05/10/2022,
,381006323,9110245600,,LA,ASS'Y WATER TANK,M49,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381006827,9110261400,,LA,ASS'Y CAPSULE HOLDER RAL9005 BK,M49,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381007712,9110261901,,LA,ASS'Y DRIP TRAY KP123* ARCTIC GREY&BLACK,M50,"11,767.000",0.000,0.000,,05/09/2022,05/10/2022,
,381007758,9110264300,,LA,ASS'Y DRIP TRAY EDG305.BG,M50,"4,792.000",0.000,0.000,,05/09/2022,05/10/2022,
,381008014,9110375600,,LA,ASSY DRIP TRAY SHIGA,M50,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381008205,9110375700,,LA,ASSY COFFEE BOX SHIGA,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381008404,9110375900,,LA,ASSY WATER TANK Shiga 0.8L,M49,30.000,0.000,0.000,,05/09/2022,05/10/2022,
,381003532,9110481900,,LA,9770 ASS'Y THERMOBLOCK 230V 1400W,M47,"3,772.000",0.000,0.000,,05/09/2022,05/09/2022,
,381005727,9110486800,,LA,ASS'Y THERMOBLOCK 230V,M47,"8,487.000",0.000,0.000,,05/09/2022,05/09/2022,
,381006038,9110487100,,LA,ASS'Y HEAD 9781 BATAM,M47,"8,565.000",0.000,0.000,,05/09/2022,05/09/2022,
,381007536,9110487500,,LA,ASS'Y WATER TANK ARIEL,M49,"6,440.000",0.000,0.000,,05/09/2022,05/10/2022,
,381002611,9110506900,,LA,ASS'Y THERMOBLOCK 127V ARIEL 9781,M47,78.000,0.000,0.000,,05/09/2022,05/09/2022,
,381009269,9110514600,,LA,Assy. Mixing Chamber Grip and V2,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381003407,9110547000,,LA,ASS'Y WATER TANK ARIEL SP,M49,190.000,0.000,0.000,,05/09/2022,05/10/2022,
,381003951,9110574700,,LA,9770 ASS'Y HEAD W VLV TILT BLK CEN WEU,M47,"3,055.000",0.000,0.000,,05/09/2022,05/09/2022,
,381007814,9110575100,,LA,9770 ASS'Y HEAD W/ VALVE TILT GREY CEN,M47,717.000,0.000,0.000,,05/09/2022,05/09/2022,
,381007924,9110578100,,LA,ASS'Y WATER TANK,M49,128.000,0.000,0.000,,05/09/2022,05/10/2022,
,381009485,9110578200,,LA,ASS'Y FLOAT,M49,128.000,0.000,0.000,,05/09/2022,05/10/2022,
BW05-SAH,1963907,9110578500,,ZP01,ASS'Y DRIVE TRAIN,M47,60.000,0.000,60.000,WA00,05/09/2022,05/10/2022,CRTD MSPT PRC  BCRQ SETC
BW05-SAH,1963908,9110578500,,ZP01,ASS'Y DRIVE TRAIN,M47,68.000,0.000,68.000,WA00,05/09/2022,05/10/2022,CRTD MSPT PRC  BCRQ SETC
,381009586,9110592900,,LA,PULP TRAY TOP & BOTTOM SET JOY,M47,"5,897.000",0.000,0.000,,05/09/2022,05/10/2022,
,381010306,9110599600,,LA,PULP TRAY TOP & BOTTOM SET RIO,M47,"7,956.000",0.000,0.000,,05/09/2022,05/10/2022,
,381010956,9110600000,,LA,PULP TRAY TOP*BOTTOM  9770 LIGHT SET PRO,M47,"8,878.000",0.000,0.000,,05/09/2022,05/10/2022,
,381008171,9110600600,,LA,Assy Power PCBA & Power Cord EU Cold Gre,M47,60.000,0.000,0.000,,05/09/2022,05/09/2022,
BW03-SA,381043071,9110606200,,LA,CERAMIC WIDE PREFLUSH BLACK MACHINING,M49,128.000,0.000,128.000,,05/09/2022,05/10/2022,
,381008314,9110607900,,LA,Assy Power PCBA & Power Cord EU Black,M47,68.000,0.000,0.000,,05/09/2022,05/09/2022,
,381012194,9170447501,,LA,FRAME BLACK PRINTED SILVER KRUPS NEW LOG,M50,"2,220.000",0.000,0.000,,05/09/2022,05/10/2022,
,381012870,9170448501,,LA,HMI COVER FRONT BLK PAINTED WIK419 NEW L,M49,"2,032.000",0.000,0.000,,05/09/2022,05/10/2022,
,381013351,9170513700,,LA,Shiga DU AXIS WITH ARROW PRINTING,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381013760,9170537100,,LA,VALVE TILT PART BLACK PRINTED,M49,"6,505.000",0.000,0.000,,05/09/2022,05/10/2022,
,381014200,9170540400,,LA,CLAMP HANDLE WHITE Printed Bordeaux,M49,"2,140.000",0.000,0.000,,05/09/2022,05/10/2022,
,381014747,9170580200,,LA,HSG DRAWER WITH LOGO PRINTING (CHIMEI),M49,"1,212.000",0.000,0.000,,05/09/2022,05/10/2022,
,381002364,9310872600,1300083910,KD,9781 SP ASSY THERMOBLOCK 230V FOR MKD,M50,"35,280.000",0.000,0.000,,05/09/2022,05/10/2022,
,381037057,9340011100,,LA,MESH OVERMOULD,M49,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381015058,9340040900,,LA,HEAD BOTTOM SPOUT&SESOR COVER PT 19-4006,M49,128.000,0.000,0.000,,05/09/2022,05/10/2022,
,381026946,9340041000,,LA,MOTOR BRACKET OVERMOLDED BLACK PT19-4006,M50,128.000,0.000,0.000,,05/09/2022,05/10/2022,
,381034255,9350008000,,LA,THERMOBLOCK 230V/1400W,M50,"4,439.000",0.000,0.000,,05/09/2022,05/10/2022,
,381027141,9350013300,,LA,THERMOBLOCK 100V 1400W W/QRT HEATER,M50,"1,200.000",0.000,0.000,,05/09/2022,05/10/2022,
,381027513,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,05/09/2022,05/10/2022,
,381027514,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,05/09/2022,05/10/2022,
,381027515,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,05/09/2022,05/10/2022,
,381027516,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,05/09/2022,05/10/2022,
,381027517,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,296.000,0.000,0.000,,05/09/2022,05/10/2022,
,381028335,9350020500,,LA,THERMOBLOCK,M50,128.000,0.000,0.000,,05/09/2022,05/10/2022,
,381002582,0310103100,,LA,HSG SET LEFT & RIGHT 9781 JOY - WHITE,M50,"2,205.000",0.000,0.000,,05/10/2022,05/11/2022,
