Work center1,Order,Material,Sales Order,Order Type,Description,MRP controller,Target quantity,Confirm.yield1,Balance1,Stor. Location,Bas. start date,Basic fin. date,System Status
BW01-UW,1956074,9110375700,,ZP01,ASSY COFFEE BOX SHIGA,M43,540.000,540.000,0.000,WF99,01/19/2022,01/21/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW05-SAH,1970606,9110574900,,ZP01,9770 ASS'Y HEAD W/ VALVE TILT BLACK CEN,M47,"1,704.000","1,704.000",0.000,WA00,01/19/2022,01/19/2022,REL  MSPT CNF  DLV  PRC  CSER BCRQ GMPS*
BW03-TP,1962257,9170448701,,ZP01,HMI COVER FRONT WHITE PRINTED WIK419 NEW,M43,"1,000.000","1,000.000",0.000,WF99,01/19/2022,01/21/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
BW03-TP,1964258,9170567200,,ZP01,Handle metal sheet + printing,M43,53.000,0.000,53.000,WF01,01/19/2022,01/21/2022,REL  PRC  BCRQ MANC SETC
BW01-UW,1962916,9300014000,,ZP01,CAPSULE CAGE US welding assembly,M43,53.000,0.000,53.000,WF99,01/19/2022,01/21/2022,REL  PRC  BCRQ MACM SETC
BW01-UW,1964256,9300014100,,ZP01,CC VALVE HOUSING US welding assembly,M43,53.000,0.000,53.000,WF99,01/19/2022,01/21/2022,REL  PRC  BCRQ MANC SETC
BW04-DC4,1958361,9350018400,,ZP01,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"6,100.000","6,100.000",0.000,WE99,01/19/2022,01/24/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
B04MT450,1958115,0310103100,,ZP01,HSG SET LEFT & RIGHT 9781 JOY - WHITE,M50,700.000,700.000,0.000,WF99,01/20/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04ME109,1964139,3010018600,,ZP01,HANDLE FOR PACKING (NEW) N.C,M50,"24,000.000","24,000.000",0.000,WF99,01/20/2022,01/24/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
B04-MD01,1963102,3010811900,,ZP01,BLOCK SHAFT N.C,M50,"12,000.000","12,000.000",0.000,WF99,01/20/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MANC SETC
B04ME109,1957995,3011229700,,ZP01,CHASSIS BLACK 9205,M50,"5,400.000","5,400.000",0.000,WF99,01/20/2022,01/24/2022,REL  CNF  DLV  PRC  CSER BCRQ GMPS MACM*
B04ME108,1956404,3011230300,,ZP01,WATER CONNECTOR PART N.C,M43,"6,600.000","6,600.000",0.000,WF99,01/20/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04ME109,1961091,3011257800,,ZP01,VALVE TILT PART RAL9005 BLACK,M50,"6,100.000","6,100.000",0.000,WD01,01/20/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04ME111,1956440,3011257900,,ZP01,CAPSULE HOLDER MAIN PART RAL9005 BK,M43,"4,400.000","4,400.000",0.000,WF01,01/20/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04ME111,1958702,3011260100,,ZP01,HMI COVER FRONT WHITE WIK392,M50,"5,300.000","5,300.000",0.000,WD01,01/20/2022,01/24/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
B04ME105,1961112,3011354300,,ZP01,PUMP OUTLET FOR D/U PUMP N.C,M43,"6,600.000","6,600.000",0.000,WF99,01/20/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
